ISO_NO	JOINT	JOINT_TYPE	Size	Thk	BASE_METAL	Test_Package_No	FITUP_DATE	WELD_DATE	SP_ERECTION_DATE	RT_RESULT	PWHT_Result	PT_Result	05-History_Sheet_Status	07-Line_Check_RESULT	08-Cleaning_RESULT	09-H/V_Test_RESULT	10-FL/DRY_RESULT	14-Reinstatement_RESULT	16-Face_Cleaning_RESULT
TK-5001/A3	0001	BW	6	7.11	CS	-	5/25/2021	5/27/2021	7/17/2021										
TK-5001-270	0001	BW	6	7.11	GALV	-													
TK-5001-90	0001	BW	6	7.11	GALV	-	12/18/2020	1/10/2021											
TK-5002/1-275	0001	BW	6	7.11	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0001	BW	6	7.11	GALV	-	7/29/2020	7/29/2020											
TK-5002/2-275	0001	BW	6	7.11	GALV	-	7/20/2020	8/12/2020											
TK-5002/2-85	0001	BW	6	7.11	GALV	-	2/9/2019	2/9/2019		RS									
TK-5002-1/A2	0001	BW	6	7.11	CS	-	4/29/2021	5/29/2021	7/17/2021										
TK-5002-2/A2	0001	BW	6	7.11	CS	-	4/29/2021	5/30/2021	7/17/2021										
TK-5003	0001	BW	4	6.02	GALV	57-FF-TK5003	2/20/2019	2/20/2019		ACC									
TK-5001-270	001A	BW	6	7.11	GALV	-	9/5/2020	9/5/2020		ACC									
TK-5001-90	001A	BW	6	7.11	GALV	-	1/8/2021	1/10/2021											
TK-5002/1-275	001A	BW	6	7.11	GALV	-	7/29/2020	7/29/2020											
TK-5002/1-85	001A	BW	6	7.11	GALV	-	7/29/2020	7/29/2020											
TK-5002/2-275	001A	BW	6	7.11	GALV	-	7/20/2020	8/12/2020		RP									
TK-5002/2-85	001A	BW	6	7.11	GALV	-	7/20/2020	8/12/2020											
TK-5001-270	001B	BW	6	7.11	GALV	-	1/12/2021	1/13/2021											
TK-5002/1-275	001B	BW	6	7.11	GALV	-	7/29/2020	7/29/2020											
TK-5002/1-85	001B	BW	6	7.11	GALV	-	7/29/2020	7/29/2020											
TK-5002/2-275	001B	BW	6	7.11	GALV	-	7/20/2020	8/12/2020											
TK-5002/2-85	001B	BW	6	7.11	GALV	-	7/20/2020	8/12/2020											
TK-5002/1-275	001C	BW	6	7.11	GALV	-	7/29/2020	7/29/2020											
TK-5002/2-275	001C	BW	6	7.11	GALV	-													
TK-5002/2-85	001C	BW	6	7.11	GALV	-	7/20/2020	8/12/2020											
TK-5002/1-275	001D	BW	6	7.11	GALV	-	11/20/2020	11/21/2020											
TK-5002/2-275	001D	BW	6	7.11	GALV	-													
TK-5002/2-85	001D	BW	6	7.11	GALV	-	7/20/2020	8/12/2020											
TK-5002/2-85	001E	BW	6	7.11	GALV	-	11/20/2020	11/21/2020											
TK-5001/A3	0002	BR	6	7.11	CS	-	5/25/2021	5/27/2021	7/17/2021										
TK-5001-270	0002	BW	6	7.11	GALV	-	1/27/2019	2/20/2019											
TK-5001-90	0002	BW	6	7.11	GALV	-	12/20/2020	1/1/2021											
TK-5002/1-275	0002	BW	6	7.11	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0002	BW	6	7.11	GALV	-	1/27/2019	2/20/2019		ACC									
TK-5002/2-275	0002	BW	6	7.11	GALV	-	2/9/2019	2/9/2019		ACC									
TK-5002/2-85	0002	BW	6	7.11	GALV	-	2/9/2019	2/9/2019											
TK-5002-1/A2	0002	BW	6	7.11	CS	-	4/29/2021	5/29/2021	7/17/2021										
TK-5002-2/A2	0002	BR	6	7.11	CS	-	4/29/2021	5/30/2021	7/17/2021										
TK-5003	0002	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-90	002A	BW	6	7.11	GALV	-	1/14/2021	1/10/2021											
TK-5002/1-275	002A	BW	6	7.11	GALV	-	7/29/2020	7/29/2020											
TK-5002/1-85	002A	BW	6	7.11	GALV	-	7/29/2020	7/29/2020											
TK-5002/2-275	002A	BW	6	7.11	GALV	-	7/20/2020	8/12/2020											
TK-5002/2-85	002A	BW	6	7.11	GALV	-	7/20/2020	8/12/2020		RP									
TK-5001/A3	0003	PI	6	7.11	CS	-													
TK-5001-270	0003	BW	6	7.11	GALV	-	1/27/2019	2/20/2019											
TK-5001-90	0003	BW	6	7.11	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0003	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/2-275	0003	BW	6	7.11	GALV	-	2/9/2019	2/9/2019		RP									
TK-5002/2-85	0003	BW	3	5.49	GALV	-	2/9/2019	2/9/2019											
TK-5002-1/A2	0003	BW	6	7.11	CS	-													
TK-5002-2/A2	0003	PI	6	7.11	CS	-													
TK-5003	0003	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	003A	BW	6	7.11	GALV	-	9/5/2020	9/5/2020											
TK-5001/A3	0004	PO	9	7.11	CS	-													
TK-5001-270	0004	BW	6	7.11	GALV	-	1/27/2019	2/20/2019											
TK-5001-90	0004	BW	6	7.11	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-275	0004	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0004	BW	3	5.49	GALV	-	1/27/2019	2/20/2019		ACC									
TK-5002/2-275	0004	BW	3	5.49	GALV	-	2/9/2019	2/9/2019		ACC									
TK-5002/2-85	0004	BW	3	5.49	GALV	-	2/9/2019	2/9/2019											
TK-5002-1/A2	0004	BW	6	7.11	CS	-													
TK-5002-1/B	0004	FW	42	3	CS	-	4/18/2021	4/24/2021											
TK-5002-2/A2	0004	PO	6	7.11	CS	-													
TK-5002-2/B	0004	FW	42	3	CS	-	4/17/2021	4/24/2021											
TK-5003	0004	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	004A	BW	6	7.11	GALV	-	10/3/2020	10/3/2020											
TK-5001-270	0005	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5001-90	0005	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-275	0005	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0005	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/2-275	0005	BW	3	5.49	GALV	-	2/9/2019	2/9/2019		RP									
TK-5002/2-85	0005	BW	3	5.49	GALV	-	2/9/2019	2/9/2019											
TK-5003	0005	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5002-1/B	005A	FW	6	3	CS	-	4/18/2021	4/24/2021											
TK-5002-2/B	005A	FW	6	3	CS	-	4/17/2021	4/24/2021											
TK-5002-1/B	005B	FW	6	3	CS	-	4/18/2021	4/24/2021											
TK-5002-2/B	005B	FW	6	3	CS	-	4/17/2021	4/24/2021											
TK-5001-270	0006	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5001-90	0006	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-275	0006	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0006	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/2-275	0006	BW	3	5.49	GALV	-	2/9/2019	2/9/2019		ACC									
TK-5002/2-85	0006	BW	3	5.49	GALV	-	2/9/2019	2/9/2019											
TK-5003	0006	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019		ACC									
TK-5001-270	0007	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5001-90	0007	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-275	0007	BW	3	5.49	GALV	-	1/27/2019	2/20/2019		ACC									
TK-5002/1-85	0007	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/2-275	0007	BW	3	5.49	GALV	-	2/9/2019	2/9/2019											
TK-5002/2-85	0007	BW	3	5.49	GALV	-	2/9/2019	2/9/2019											
TK-5003	0007	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	0008	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5001-90	0008	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-275	0008	BW	3	5.49	GALV	-	1/27/2019	2/20/2019		RP									
TK-5002/2-275	0008	BW	3	5.49	GALV	-	2/9/2019	2/9/2019											
TK-5003	0008	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5002/1-275	008C1	BW	3	5.49	GALV	-	2/7/2021												
TK-5001-270	0009	BW	3	5.49	GALV	-	1/27/2019	2/20/2019		ACC									
TK-5001-90	0009	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-275	0009	BW	3	5.49	GALV	-	1/27/2019	2/20/2019		ACC									
TK-5002/2-275	0009	BW	3	5.49	GALV	-	2/9/2019	2/9/2019											
TK-5003	0009	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	0010	BW	3	5.49	GALV	-	9/5/2020	9/5/2020		ACC									
TK-5001-90	0010	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-275	0010	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/2-275	0010	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5003	0010	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	0011	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5001-90	0011	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-275	0011	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/2-275	0011	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5003	0011	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	0012	BW	2	3.91	GALV	-	9/5/2020	9/5/2020		ACC									
TK-5001-90	0012	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0012	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/2-85	0012	BW	2	3.91	GALV	-	2/9/2019	2/9/2019		ACC									
TK-5003	0012	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	0013	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5001-90	0013	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0013	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/2-85	0013	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5003	0013	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	0014	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5001-90	0014	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-275	0014	BW	3	5.49	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-85	0014	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5003	0014	BW	2	3.91	GALV	57-FF-TK5003	2/20/2019	2/20/2019											
TK-5001-270	0015	BW	2	3.91	GALV	-	10/3/2020	10/4/2020											
TK-5001-90	0015	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-275	0015	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0015	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5001-90	0016	BW	2	3.91	GALV	-	1/27/2019	2/20/2019											
TK-5002/1-275	0016	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0016	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-85	0016	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5001-90	0017	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-275	0017	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0017	BW	2	3.91	GALV	-	9/5/2020	9/5/2020		RT									
TK-5002/2-275	0017	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5002/2-85	0017	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5002/1-275	0018	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0018	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-275	0018	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5002/2-85	0018	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5001-90	018C1	BW	2	3.91	GALV	-	11/14/2020	11/15/2020		ACC									
TK-5001-90	0019	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-275	0019	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0019	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-275	0019	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5002/2-85	0019	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5001-90	0020	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/1-275	0020	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0020	BW	3	5.49	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-275	0020	BW	2	3.91	GALV	-	2/9/2019	2/9/2019		ACC									
TK-5002/1-275	0021	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0021	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-275	0021	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5002/2-85	0021	BW	2	3.91	GALV	-	7/25/2020	7/25/2020											
TK-5001-90	021C1	BW	2	3.91	GALV	-	11/14/2020	11/15/2020		ACC									
TK-5001-90	0022	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-275	0022	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0022	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-275	0022	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5001-90	0023	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/1-275	0023	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0023	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-275	0023	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5001-90	0024	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0024	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/2-275	0024	BW	2	3.91	GALV	-	2/9/2019	2/9/2019											
TK-5001-90	0025	BW	2	3.91	GALV	-	10/3/2020	10/4/2020											
TK-5002/1-85	0025	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/2-275	0025	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5001-90	0026	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0026	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-275	0026	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5001-90	0027	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/1-85	0027	BW	2	3.91	GALV	-	9/5/2020	9/5/2020											
TK-5002/2-275	0027	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5001-90	0028	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/2-275	0028	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5001-90	0029	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/2-275	0029	BW	2	3.91	GALV	-	7/25/2020	7/25/2020											
TK-5002/2-275	0030	BW	2	3.91	GALV	-	7/25/2020	7/25/2020											
TK-5002/2-275	0031	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5002/2-275	0032	BW	3	5.49	GALV	-	7/25/2020	7/25/2020											
TK-5002/2-275	0033	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/2-275	0034	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/2-275	0035	BW	2	3.91	GALV	-	7/25/2020	7/25/2020											
TK-5002/2-275	0036	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/2-275	0037	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
TK-5002/2-275	0038	BW	2	3.91	GALV	-	7/25/2020	7/25/2020											
TK-5002/2-275	0039	BW	2	3.91	GALV	-	10/3/2020	10/3/2020											
