ISO_NO	JOINT	JOINT_TYPE	Size	Thk	BASE_METAL	Test_Package_No	FITUP_DATE	WELD_DATE	SP_ERECTION_DATE	RT_RESULT	PWHT_Result	PT_Result	05-History_Sheet_Status	07-Line_Check_RESULT	08-Cleaning_RESULT	09-H/V_Test_RESULT	10-FL/DRY_RESULT	14-Reinstatement_RESULT	16-Face_Cleaning_RESULT
ISO-56001	0002	BW	12	6.35	CS	56-CWS-020	10/4/2017	2/2/2020	8/16/2018				ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56001	0003	BW	12	6.35	CS	56-CWS-020	10/24/2017	2/2/2020	8/16/2018				ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56001	0004	BW	12	6.35	CS	56-CWS-020	4/13/2017	4/23/2017	1/30/2018	ACC			ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56001	0005	BW	12	6.35	CS	56-CWS-020	11/5/2017	2/2/2020	8/16/2018				ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56001	0001RWTN	BW	12	6.35	CS	56-CWS-020	1/19/2021	1/20/2021	2/7/2021	ACC		Acc	ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56002	0002	BW	3	5.49	CS	57-CWS-040	4/13/2017	2/2/2020	1/30/2018				ACC	ACC	ACC	ACC	ACC	ACC	
ISO-56002	0003	BW	3	5.49	CS	57-CWS-040	4/13/2017	2/2/2020	1/30/2018	ACC			ACC	ACC	ACC	ACC	ACC	ACC	
ISO-56002	0004	BW	3	5.49	CS	57-CWS-040	4/13/2017	2/2/2020	1/30/2018				ACC	ACC	ACC	ACC	ACC	ACC	
ISO-56002	0001TN	BW	3	5.49	CS	57-CWS-040	3/12/2018	2/2/2020	8/16/2018	ACC			ACC	ACC	ACC	ACC	ACC	ACC	
ISO-56003	0001	BW	12	6.35	CS	56-CWS-020	11/5/2017	2/2/2020	8/16/2018				ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56003	0002	BW	12	6.35	CS	56-CWS-020	4/13/2017	4/23/2017	1/30/2018	ACC			ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56003	0003	BW	12	6.35	CS	56-CWS-020	10/24/2017	2/2/2020	8/16/2018				ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56003	0004	BW	12	6.35	CS	56-CWS-020	10/4/2017	2/2/2020	8/16/2018				ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56003	0006	BW	12	6.35	CS	56-CWS-020	10/30/2017	2/2/2020	8/16/2018				ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56003	0005CM	BR	3	6.35	CS	56-CWS-020	2/21/2018	2/2/2020	8/16/2018			Acc	ACC	ACC	ACC	ACC	ACC	Pending	
ISO-56003	0004ACM	BW	12	6.35	CS	56-CWS-020	2/21/2018	2/2/2020	8/16/2018	ACC			ACC	ACC	ACC	ACC	ACC	Pending	
